wl.nm,irrad.W_m2_nm,flux.photon_m2_nm_s,irrad.mW_cm2_nm,flux.mA_cm2_nm
280,4.7309E-23,6.66845E-05,4.7309E-24,1.04849E-24
280.5,1.2307E-21,0.001737834,1.2307E-22,2.73243E-23
281,5.6895E-21,0.008048292,5.6895E-22,1.26545E-22
281.5,1.5662E-19,0.221946819,1.5662E-20,3.48971E-21
282,1.1946E-18,1.695879245,1.1946E-19,2.66646E-20
282.5,4.5436E-18,6.461626476,4.5436E-19,1.01597E-19
283,1.8452E-17,26.28773619,1.8452E-18,4.13327E-19
283.5,3.536E-17,50.46480808,3.536E-18,7.93467E-19
284,7.267E-16,1038.955165,7.267E-17,1.63357E-17
284.5,2.4856E-15,3559.891957,2.4856E-16,5.59728E-17
285,8.0142E-15,11498.15987,8.0142E-16,1.80788E-16
285.5,4.2613E-14,61245.12551,4.2613E-15,9.62968E-16
286,1.3684E-13,197016.4117,1.3684E-14,3.09772E-15
286.5,8.3823E-13,1208957.775,8.3823E-14,1.90087E-14
287,2.7367E-12,3953961.127,2.7367E-13,6.21688E-14
287.5,1.0903E-11,15780006.13,1.0903E-12,2.48112E-13
288,6.2337E-11,90377784.71,6.2337E-12,1.42103E-12
288.5,1.7162E-10,249251064.3,1.7162E-11,3.91902E-12
289,5.6265E-10,818576876.5,5.6265E-11,1.28706E-11
289.5,2.0749E-09,3023911281,2.0749E-10,4.75455E-11
290,6.0168E-09,8783889827,6.0168E-10,1.38111E-10
290.5,1.3783E-08,20156410720,1.3783E-09,3.16923E-10
291,3.5052E-08,51348658072,3.5052E-09,8.07364E-10
291.5,1.0913E-07,1.60142E+11,1.0913E-08,2.51795E-09
292,2.683E-07,3.94391E+11,2.683E-08,6.20108E-09
292.5,4.2685E-07,6.28528E+11,4.2685E-08,9.88246E-09
293,8.6466E-07,1.27537E+12,8.6466E-08,2.00529E-08
293.5,2.2707E-06,3.35499E+12,2.2707E-07,5.27511E-08
294,4.1744E-06,6.17824E+12,4.1744E-07,9.71416E-08
294.5,6.5911E-06,9.77162E+12,6.5911E-07,1.53641E-07
295,0.00001229,1.82514E+13,0.000001229,2.86971E-07
295.5,0.000027826,4.13934E+13,2.7826E-06,6.50837E-07
296,0.000047904,7.13817E+13,4.7904E-06,1.12235E-06
296.5,0.000071345,1.06491E+14,7.1345E-06,1.67437E-06
297,0.0000968,1.44729E+14,0.00000968,2.2756E-06
297.5,0.00018608,2.78683E+14,0.000018608,4.38178E-06
298,0.00028988,4.34868E+14,0.000028988,6.83751E-06
298.5,0.00035789,5.37796E+14,0.000035789,8.45586E-06
299,0.00049211,7.40724E+14,0.000049211,1.16465E-05
299.5,0.00086068,1.29766E+15,0.000086068,2.04034E-05
300,0.0010205,1.54119E+15,0.00010205,2.42325E-05
300.5,0.001245,1.88338E+15,0.0001245,2.96127E-05
301,0.00193,2.92447E+15,0.000193,4.5982E-05
301.5,0.0026914,4.08497E+15,0.00026914,6.42287E-05
302,0.0029209,4.44065E+15,0.00029209,6.98212E-05
302.5,0.004284,6.52376E+15,0.0004284,0.000102574
303,0.0070945,1.08215E+16,0.00070945,0.000170149
303.5,0.0089795,1.37194E+16,0.00089795,0.000215712
304,0.0094701,1.44928E+16,0.00094701,0.000227872
304.5,0.011953,1.83226E+16,0.0011953,0.00028809
305,0.016463,2.52774E+16,0.0016463,0.000397441
305.5,0.018719,2.87884E+16,0.0018719,0.000452645
306,0.018577,2.86168E+16,0.0018577,0.000449946
306.5,0.021108,3.25687E+16,0.0021108,0.000512084
307,0.027849,4.30399E+16,0.0027849,0.000676724
307.5,0.035635,5.51627E+16,0.0035635,0.000867333
308,0.037837,5.86666E+16,0.0037837,0.000922425
308.5,0.04143,6.43418E+16,0.004143,0.001011658
309,0.040534,6.30523E+16,0.0040534,0.000991383
309.5,0.043306,6.74733E+16,0.0043306,0.001060895
310,0.050939,7.94942E+16,0.0050939,0.001249902
310.5,0.06554,1.02445E+17,0.006554,0.001610764
311,0.082922,1.29824E+17,0.0082922,0.002041239
311.5,0.08408,1.31848E+17,0.008408,0.002073073
312,0.093376,1.46661E+17,0.0093376,0.00230597
312.5,0.098984,1.55718E+17,0.0098984,0.00244838
313,0.10733,1.69118E+17,0.010733,0.002659067
313.5,0.10757,1.69767E+17,0.010757,0.00266927
314,0.11969,1.89196E+17,0.011969,0.002974755
314.5,0.1306,2.0677E+17,0.01306,0.003251079
315,0.13625,2.16058E+17,0.013625,0.003397119
315.5,0.11838,1.88019E+17,0.011838,0.002956252
316,0.12348,1.9643E+17,0.012348,0.003088499
316.5,0.15036,2.39568E+17,0.015036,0.003766776
317,0.17158,2.7381E+17,0.017158,0.004305164
317.5,0.18245,2.91616E+17,0.018245,0.004585127
318,0.17594,2.81653E+17,0.017594,0.004428488
318.5,0.18591,2.98082E+17,0.018591,0.004686795
319,0.2047,3.28724E+17,0.02047,0.005168592
319.5,0.19589,3.1507E+17,0.019589,0.004953896
320,0.20527,3.30673E+17,0.020527,0.005199232
320.5,0.24525,3.95695E+17,0.024525,0.006221581
321,0.25024,4.04376E+17,0.025024,0.006358073
321.5,0.23843,3.85891E+17,0.023843,0.006067442
322,0.22203,3.59907E+17,0.022203,0.00565889
322.5,0.21709,3.52446E+17,0.021709,0.005541576
323,0.21226,3.45139E+17,0.021226,0.005426683
323.5,0.24861,4.04871E+17,0.024861,0.006365853
324,0.27537,4.49143E+17,0.027537,0.007061962
324.5,0.28321,4.62644E+17,0.028321,0.00727423
325,0.27894,4.5637E+17,0.027894,0.007175595
325.5,0.32436,5.31498E+17,0.032436,0.008356839
326,0.3812,6.25596E+17,0.03812,0.009836356
326.5,0.40722,6.69323E+17,0.040722,0.010523883
327,0.39806,6.55269E+17,0.039806,0.010302913
327.5,0.38465,6.34162E+17,0.038465,0.009971047
328,0.35116,5.79832E+17,0.035116,0.009116804
328.5,0.37164,6.14584E+17,0.037164,0.009663213
329,0.42235,6.99506E+17,0.042235,0.010998466
329.5,0.46878,7.77585E+17,0.046878,0.012226108
330,0.47139,7.83101E+17,0.047139,0.012312835
330.5,0.428,7.12096E+17,0.0428,0.011196415
331,0.40262,6.70883E+17,0.040262,0.010548412
331.5,0.41806,6.97663E+17,0.041806,0.010969476
332,0.43623,7.29083E+17,0.043623,0.011463503
332.5,0.43919,7.35136E+17,0.043919,0.011558669
333,0.42944,7.19896E+17,0.042944,0.011319063
333.5,0.40724,6.83706E+17,0.040724,0.010750038
334,0.41497,6.97729E+17,0.041497,0.010970512
334.5,0.44509,7.49492E+17,0.044509,0.011784406
335,0.46388,7.82301E+17,0.046388,0.012300257
335.5,0.45313,7.65312E+17,0.045313,0.012033143
336,0.41519,7.02279E+17,0.041519,0.011042055
336.5,0.38214,6.47338E+17,0.038214,0.010178208
337,0.3738,6.34151E+17,0.03738,0.009970867
337.5,0.40051,6.80472E+17,0.040051,0.01069919
338,0.43411,7.38652E+17,0.043411,0.011613957
338.5,0.45527,7.75802E+17,0.045527,0.012198079
339,0.46355,7.91079E+17,0.046355,0.012438271
339.5,0.47446,8.10891E+17,0.047446,0.012749793
340,0.5018,8.58881E+17,0.05018,0.013504338
340.5,0.50071,8.58275E+17,0.050071,0.013494821
341,0.47139,8.09204E+17,0.047139,0.012723262
341.5,0.46935,8.06884E+17,0.046935,0.012686776
342,0.48934,8.42481E+17,0.048934,0.013246482
342.5,0.50767,8.75317E+17,0.050767,0.013762769
343,0.51489,8.89062E+17,0.051489,0.013978878
343.5,0.48609,8.40556E+17,0.048609,0.013216217
344,0.41843,7.2461E+17,0.041843,0.011393181
344.5,0.40307,6.99025E+17,0.040307,0.010990905
345,0.45898,7.97143E+17,0.045898,0.012533622
345.5,0.48932,8.51068E+17,0.048932,0.013381499
346,0.47778,8.32199E+17,0.047778,0.013084822
346.5,0.48657,8.48735E+17,0.048657,0.013344807
347,0.49404,8.63008E+17,0.049404,0.013569234
347.5,0.47674,8.33988E+17,0.047674,0.013112942
348,0.47511,8.32332E+17,0.047511,0.013086911
348.5,0.48336,8.48002E+17,0.048336,0.013333287
349,0.46564,8.18086E+17,0.046564,0.012862916
349.5,0.47805,8.41093E+17,0.047805,0.013224652
350,0.52798,9.3027E+17,0.052798,0.014626798
350.5,0.56741,1.00117E+18,0.056741,0.015741595
351,0.55172,9.74875E+17,0.055172,0.015328144
351.5,0.53022,9.3822E+17,0.053022,0.014751805
352,0.51791,9.17741E+17,0.051791,0.014429813
352.5,0.48962,8.68844E+17,0.048962,0.013660985
353,0.5204,9.24773E+17,0.05204,0.014540379
353.5,0.57228,1.01841E+18,0.057228,0.016012595
354,0.60498,1.07812E+18,0.060498,0.016951495
354.5,0.61156,1.09139E+18,0.061156,0.01716007
